platform,advertiser_name,creative_id,for_whom,creative_page_url
Meta Ads Library,LHV,8.70155E+14,swedbank,https://www.facebook.com/ads/archive/render_ad/?id=870155411750789&access_token=EAATnrmoQyC4BOyPI2UlrqFMQKk5vv6XeANCnonDt4Ho3GPZCm24pBF6XxsSP0Qh3kIdZCuPUtE6BvZBSuq1WwOhhHeZC7dnXLq9u3XRiPfzaTxZBalwm2gvQPVjbAEyHImZBEa9uHUj8yB0OSaDuDsgTaLPYzvCZCd5fnGkOLIjhAkfnRyK2nOmUnAFTlG8Ujgl
Meta Ads Library,Coral Travel Lithuania,5.87248E+14,teztour,https://www.facebook.com/ads/archive/render_ad/?id=587248260983503&access_token=EAATnrmoQyC4BQPVFaEdvyWfH85nc9J1azy5Q3EZCsaaFpLOAG9mEhR1mfp8tmZAxRmBf2IRN553VRRdSaWWJUedu3OFNvLi6Jf9yHmQkSryfa7HC1lnTHUoDGLJFXNS38IeFpk3ZBBnLtpERHKOgzlznywHZAnzlGFoqmGcIcZBTiOgc4ybEkN3braKPoQgJuFpHi7zrs
Meta Ads Library,Weekend.lt,8.22328E+14,ballzy,https://www.facebook.com/ads/archive/render_ad/?id=822328063586584&access_token=EAATnrmoQyC4BQptmsbNRdpMvgWhT9ZCeeMMlHDkxMXfJ2nK6fMZAk2p9lKk0ofSe3VJBPuz92dPfwiAVjmS2ZCoS7xLFsfFcl3R0EZAhf5ct7tPBlrxE7lxNtKKSRD4BlK1MAuYA7zjMuXKiS0o7eOkkQsTbvvT0TMpX7WoMajScg9PKRZBs3m5KGt4Um9A8HstpDdQRr
Meta Ads Library,Hepsor,8.41212E+14,liven,https://www.facebook.com/ads/archive/render_ad/?id=841211718633458&access_token=EAATnrmoQyC4BQptmsbNRdpMvgWhT9ZCeeMMlHDkxMXfJ2nK6fMZAk2p9lKk0ofSe3VJBPuz92dPfwiAVjmS2ZCoS7xLFsfFcl3R0EZAhf5ct7tPBlrxE7lxNtKKSRD4BlK1MAuYA7zjMuXKiS0o7eOkkQsTbvvT0TMpX7WoMajScg9PKRZBs3m5KGt4Um9A8HstpDdQRr
Meta Ads Library,BSTN Store,1.26658E+15,ballzy,https://www.facebook.com/ads/archive/render_ad/?id=1266579855259376&access_token=EAATnrmoQyC4BPs1GFkdV11JnEwK18Y8SLMH9XxyP1QZA12GZBXpFNXt4CEn7HUJVZAYL5pFEXRSZCIdgVqP5T08KTd8pQGXvNZCam0j0PqoRFCsskhbBt4ZAXMXFOpa0ECGYHZA8NTLdIW8Nry28X4W5VJDVRVvrn9v1R3X8HFx4OAx1POcTnhYscXKCiQv7yFEdGdyRtLU
Meta Ads Library,Alexela,1.50817E+15,enefit,https://www.facebook.com/ads/archive/render_ad/?id=1508174227042896&access_token=EAATnrmoQyC4BQPVFaEdvyWfH85nc9J1azy5Q3EZCsaaFpLOAG9mEhR1mfp8tmZAxRmBf2IRN553VRRdSaWWJUedu3OFNvLi6Jf9yHmQkSryfa7HC1lnTHUoDGLJFXNS38IeFpk3ZBBnLtpERHKOgzlznywHZAnzlGFoqmGcIcZBTiOgc4ybEkN3braKPoQgJuFpHi7zrs
Meta Ads Library,LHV finantsportaal,5.35578E+14,swedbank,https://www.facebook.com/ads/archive/render_ad/?id=535578368889610&access_token=EAATnrmoQyC4BOyPI2UlrqFMQKk5vv6XeANCnonDt4Ho3GPZCm24pBF6XxsSP0Qh3kIdZCuPUtE6BvZBSuq1WwOhhHeZC7dnXLq9u3XRiPfzaTxZBalwm2gvQPVjbAEyHImZBEa9uHUj8yB0OSaDuDsgTaLPYzvCZCd5fnGkOLIjhAkfnRyK2nOmUnAFTlG8Ujgl
Meta Ads Library,Ballzy Eesti,2.32008E+15,ballzy,https://www.facebook.com/ads/archive/render_ad/?id=2320076121667364&access_token=EAATnrmoQyC4BOyPI2UlrqFMQKk5vv6XeANCnonDt4Ho3GPZCm24pBF6XxsSP0Qh3kIdZCuPUtE6BvZBSuq1WwOhhHeZC7dnXLq9u3XRiPfzaTxZBalwm2gvQPVjbAEyHImZBEa9uHUj8yB0OSaDuDsgTaLPYzvCZCd5fnGkOLIjhAkfnRyK2nOmUnAFTlG8Ujgl
Meta Ads Library,Ballzy Latvija,1.28849E+15,ballzy,https://www.facebook.com/ads/archive/render_ad/?id=1288491882978159&access_token=EAATnrmoQyC4BQPVFaEdvyWfH85nc9J1azy5Q3EZCsaaFpLOAG9mEhR1mfp8tmZAxRmBf2IRN553VRRdSaWWJUedu3OFNvLi6Jf9yHmQkSryfa7HC1lnTHUoDGLJFXNS38IeFpk3ZBBnLtpERHKOgzlznywHZAnzlGFoqmGcIcZBTiOgc4ybEkN3braKPoQgJuFpHi7zrs
Meta Ads Library,SEB Eesti,2.12505E+15,swedbank,https://www.facebook.com/ads/archive/render_ad/?id=2125051014591996&access_token=EAATnrmoQyC4BQPVFaEdvyWfH85nc9J1azy5Q3EZCsaaFpLOAG9mEhR1mfp8tmZAxRmBf2IRN553VRRdSaWWJUedu3OFNvLi6Jf9yHmQkSryfa7HC1lnTHUoDGLJFXNS38IeFpk3ZBBnLtpERHKOgzlznywHZAnzlGFoqmGcIcZBTiOgc4ybEkN3braKPoQgJuFpHi7zrs
Meta Ads Library,Luminor Eesti,1.48945E+15,swedbank,https://www.facebook.com/ads/archive/render_ad/?id=1489447332504095&access_token=EAATnrmoQyC4BQPVFaEdvyWfH85nc9J1azy5Q3EZCsaaFpLOAG9mEhR1mfp8tmZAxRmBf2IRN553VRRdSaWWJUedu3OFNvLi6Jf9yHmQkSryfa7HC1lnTHUoDGLJFXNS38IeFpk3ZBBnLtpERHKOgzlznywHZAnzlGFoqmGcIcZBTiOgc4ybEkN3braKPoQgJuFpHi7zrs
Meta Ads Library,Coral Travel Latvia,6.95798E+14,teztour,https://www.facebook.com/ads/archive/render_ad/?id=695798333186923&access_token=EAATnrmoQyC4BQPVFaEdvyWfH85nc9J1azy5Q3EZCsaaFpLOAG9mEhR1mfp8tmZAxRmBf2IRN553VRRdSaWWJUedu3OFNvLi6Jf9yHmQkSryfa7HC1lnTHUoDGLJFXNS38IeFpk3ZBBnLtpERHKOgzlznywHZAnzlGFoqmGcIcZBTiOgc4ybEkN3braKPoQgJuFpHi7zrs
Meta Ads Library,Seesam kindlustus,1.00901E+15,swedbank,https://www.facebook.com/ads/archive/render_ad/?id=1009013857783657&access_token=EAATnrmoQyC4BQPVFaEdvyWfH85nc9J1azy5Q3EZCsaaFpLOAG9mEhR1mfp8tmZAxRmBf2IRN553VRRdSaWWJUedu3OFNvLi6Jf9yHmQkSryfa7HC1lnTHUoDGLJFXNS38IeFpk3ZBBnLtpERHKOgzlznywHZAnzlGFoqmGcIcZBTiOgc4ybEkN3braKPoQgJuFpHi7zrs
Meta Ads Library,Luminor Eesti,8.53397E+14,swedbank,https://www.facebook.com/ads/archive/render_ad/?id=853397254350635&access_token=EAATnrmoQyC4BQptmsbNRdpMvgWhT9ZCeeMMlHDkxMXfJ2nK6fMZAk2p9lKk0ofSe3VJBPuz92dPfwiAVjmS2ZCoS7xLFsfFcl3R0EZAhf5ct7tPBlrxE7lxNtKKSRD4BlK1MAuYA7zjMuXKiS0o7eOkkQsTbvvT0TMpX7WoMajScg9PKRZBs3m5KGt4Um9A8HstpDdQRr
Meta Ads Library,Confido,1.94015E+15,meliva,https://www.facebook.com/ads/archive/render_ad/?id=1940152886443489&access_token=EAATnrmoQyC4BO5erfu0T8wppuuMsqCZCnReXzEYpZAE2SuHMabkeRUXfkbCAdlN6QqZADLZAC3kW4zSBZAUYvrEe5WEyxqd6tPkCitApLgaiLpJyZAFbsttB4ePIsz7s9dCXObDRZBE4zZCfVDCOaDzwBajqvt8tZCLyglNfHAVFymweyRxgxwtmq6IHSiwo9Nmvr3dPAXdXF
Meta Ads Library,Coral Travel Lithuania,1.34303E+15,teztour,https://www.facebook.com/ads/archive/render_ad/?id=1343030070805068&access_token=EAATnrmoQyC4BQptmsbNRdpMvgWhT9ZCeeMMlHDkxMXfJ2nK6fMZAk2p9lKk0ofSe3VJBPuz92dPfwiAVjmS2ZCoS7xLFsfFcl3R0EZAhf5ct7tPBlrxE7lxNtKKSRD4BlK1MAuYA7zjMuXKiS0o7eOkkQsTbvvT0TMpX7WoMajScg9PKRZBs3m5KGt4Um9A8HstpDdQRr
Meta Ads Library,Coral Travel Lithuania,1.55261E+15,teztour,https://www.facebook.com/ads/archive/render_ad/?id=1552605292816226&access_token=EAATnrmoQyC4BQptmsbNRdpMvgWhT9ZCeeMMlHDkxMXfJ2nK6fMZAk2p9lKk0ofSe3VJBPuz92dPfwiAVjmS2ZCoS7xLFsfFcl3R0EZAhf5ct7tPBlrxE7lxNtKKSRD4BlK1MAuYA7zjMuXKiS0o7eOkkQsTbvvT0TMpX7WoMajScg9PKRZBs3m5KGt4Um9A8HstpDdQRr
Meta Ads Library,Modivo,1.48584E+15,ballzy,https://www.facebook.com/ads/archive/render_ad/?id=1485838972457236&access_token=EAATnrmoQyC4BQptmsbNRdpMvgWhT9ZCeeMMlHDkxMXfJ2nK6fMZAk2p9lKk0ofSe3VJBPuz92dPfwiAVjmS2ZCoS7xLFsfFcl3R0EZAhf5ct7tPBlrxE7lxNtKKSRD4BlK1MAuYA7zjMuXKiS0o7eOkkQsTbvvT0TMpX7WoMajScg9PKRZBs3m5KGt4Um9A8HstpDdQRr
Meta Ads Library,Ballzy Suomi,2.52282E+16,ballzy,https://www.facebook.com/ads/archive/render_ad/?id=25228183573513048&access_token=EAATnrmoQyC4BQptmsbNRdpMvgWhT9ZCeeMMlHDkxMXfJ2nK6fMZAk2p9lKk0ofSe3VJBPuz92dPfwiAVjmS2ZCoS7xLFsfFcl3R0EZAhf5ct7tPBlrxE7lxNtKKSRD4BlK1MAuYA7zjMuXKiS0o7eOkkQsTbvvT0TMpX7WoMajScg9PKRZBs3m5KGt4Um9A8HstpDdQRr
Meta Ads Library,Rademar,4.2117E+14,ballzy,https://www.facebook.com/ads/archive/render_ad/?id=421170307619938&access_token=EAATnrmoQyC4BOyPI2UlrqFMQKk5vv6XeANCnonDt4Ho3GPZCm24pBF6XxsSP0Qh3kIdZCuPUtE6BvZBSuq1WwOhhHeZC7dnXLq9u3XRiPfzaTxZBalwm2gvQPVjbAEyHImZBEa9uHUj8yB0OSaDuDsgTaLPYzvCZCd5fnGkOLIjhAkfnRyK2nOmUnAFTlG8Ujgl
Meta Ads Library,Coop Pank,5.15499E+14,swedbank,https://www.facebook.com/ads/archive/render_ad/?id=515499094404401&access_token=EAATnrmoQyC4BOyPI2UlrqFMQKk5vv6XeANCnonDt4Ho3GPZCm24pBF6XxsSP0Qh3kIdZCuPUtE6BvZBSuq1WwOhhHeZC7dnXLq9u3XRiPfzaTxZBalwm2gvQPVjbAEyHImZBEa9uHUj8yB0OSaDuDsgTaLPYzvCZCd5fnGkOLIjhAkfnRyK2nOmUnAFTlG8Ujgl
Meta Ads Library,Modivo,1.51953E+15,ballzy,https://www.facebook.com/ads/archive/render_ad/?id=1519529691991343&access_token=EAATnrmoQyC4BQPVFaEdvyWfH85nc9J1azy5Q3EZCsaaFpLOAG9mEhR1mfp8tmZAxRmBf2IRN553VRRdSaWWJUedu3OFNvLi6Jf9yHmQkSryfa7HC1lnTHUoDGLJFXNS38IeFpk3ZBBnLtpERHKOgzlznywHZAnzlGFoqmGcIcZBTiOgc4ybEkN3braKPoQgJuFpHi7zrs
